HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC
EXIUS,2019-04-05T00:00:00Z,USD,61,7762.99999999999
EXIUS,2019-04-06T00:00:00Z,USD,53,6681.60999999999
EXIUS,2019-04-07T00:00:00Z,USD,47,5848.72999999999
EXIUS,2019-04-08T00:00:00Z,USD,62,7762.16999999999
EXIUS,2019-04-09T00:00:00Z,USD,64,8010.00999999999
EXIUS,2019-04-10T00:00:00Z,USD,60,7671.70999999999
EXIUS,2019-04-11T00:00:00Z,USD,50,6242.40999999999
EXIUS,2019-04-12T00:00:00Z,USD,40,4848.55999999999
EXIUS,2019-04-13T00:00:00Z,USD,28,3254.84999999999
EXIUS,2019-04-14T00:00:00Z,USD,39,4771.74999999999
EXIUS,2019-04-15T00:00:00Z,USD,61,7726.14999999999
EXIUS,2019-04-16T00:00:00Z,USD,66,8512.84999999999
EXIUS,2019-04-16T00:00:00Z,USD,66,8512.84999999999
EXIUS,2019-04-16T00:00:00Z,USD,66,8512.84999999999
EXIUS,2019-04-17T00:00:00Z,USD,63,8181.73999999999
EXIUS,2019-04-18T00:00:00Z,USD,29,3664.09999999999
EXIUS,2019-04-19T00:00:00Z,USD,54,6723.46999999999
EXIUS,2019-04-20T00:00:00Z,USD,46,5523.53999999999
EXIUS,2019-04-21T00:00:00Z,USD,26,3164.63999999999
EXIUS,2019-04-22T00:00:00Z,USD,47,5850.27999999999
EXIUS,2019-04-23T00:00:00Z,USD,64,8003.45999999999
EXIUS,2019-04-24T00:00:00Z,USD,57,7328.66999999999
EXIUS,2019-04-25T00:00:00Z,USD,54,7033.70999999999
EXIUS,2019-04-26T00:00:00Z,USD,64,8282.38999999999
EXIUS,2019-04-27T00:00:00Z,USD,60,7565.51999999999
EXIUS,2019-04-28T00:00:00Z,USD,32,3979.33999999999
EXIUS,2019-04-29T00:00:00Z,USD,66,8087.98999999999
EXIUS,2019-04-30T00:00:00Z,USD,65,7967.19999999999
EXIUS,2019-05-01T00:00:00Z,USD,56,6772.29999999999
EXIUS,2019-05-02T00:00:00Z,USD,69,8208.95137930999
EXIUS,2019-05-03T00:00:00Z,USD,68,8493.57241379299
EXIUS,2019-05-04T00:00:00Z,USD,51,6073.95999999999
EXIUS,2019-05-05T00:00:00Z,USD,39,4734.60999999999
